reference	verse	book
Mark 1:27	(paragraph) All of the people [who (implicit-situational) were in the Jewish church] were very surprised/amazed. So those people said to each-other(people), ["What (rhetorical) does this event mean?] ["(statement) This event surprised/amazed us(person) !]. These things [that Jesus is teaching] are new. Jesus speaks with authority! And Jesus even commands [evil/unclean spirits to do things]. And those evil/unclean spirits obey Jesus."	Mark
Mark 6:56	And [whenever Jesus went into villages, towns, or the fields-C [that were near towns and villages],] the people [(implicit-situational) that lived in those places] put those sick people in the markets. Those people asked/begged Jesus [Jesus to let [those sick people touch the edge of Jesus's clothes/robe]]. And all of the people [who touched Jesus's clothes/robe] were healed by Jesus _implicitActiveAgent.	Mark
Acts 20:31	So you(Ephesians) be careful (imp)! You(leaders) remember (imp) [that I(Paul) continually warned you(leaders) for three years]. I(Paul) warned you(leaders) about these people [who teach false things] many times. And I(Paul) cried because of you(leaders) often.	Acts
2 Samuel 20:5	But [before Amasa called those men] Amasa waited for more than 3 days.  Then Amasa called the men [who were in the tribe named Judah].	2_Samuel
Acts 21:1	Paul (title) and Paul’s companions traveled to the city named Tyre. Then we(disciples) goodbyed the leaders of the church [that was in Ephesus.] And we(disciples) entered a ship. And we(disciples) traveled to the island named Cos. Then we(disciples) went to the island named Rhodes.  On the next day, we(disciples) traveled to the island named Patara.	Acts
Genesis 40:18	Then Joseph said, ["I(Joseph) will explain this dream to you(man)]. The 3 baskets represent 3 days.	Genesis
1 Samuel 26:7	So during the night David and Abishai went to the place [that Saul’s army was camping at]. Saul was sleeping in the middle of the camp. And Saul's spear was near Saul's head. Abner and the other soldiers were sleeping around Saul.	1_Samuel
Mark 15:43	So Joseph, [who was from Arimathea,] boldly went to Pilate. And Joseph asked-B Jesus's body to Pilate. Joseph was an important person [who was in the Sanhedrin]. (complex) And Joseph was also waiting-B [the kingdom-B of God to begin _implicitNecessary]. (simple) And Joseph was also waiting-B [God to start ruling God's people _implicit].	Mark
Mark 9:50	(paragraph) Salt is good. (rhetorical) But [if salt stops tasting like salt ,] how will you(followers) cause [that salt to taste like salt again _implicit]? (statement) But [if salt stops tasting like salt,] you(followers) will not be able [to cause [that salt to taste like salt again _implicit]]. You(followers) should be like salt [(implicit-situational) that tastes good]. And you(followers) should live peacefully with each-other(followers).	Mark
Matthew 21:22	[If you(disciples) believe in God _implicit,] you(disciples) will receive all the things [that you(disciples) ask for [when you(disciples) pray]]."	Matthew
Joshua 15:28	And the tribe named Judah owned the towns named Hazar-Shual, Beersheba, and Biziothiah.	Joshua
Matthew 10:24	_paragraph A student is not more important than that student's teacher. And a servant-B is not more important than that servant's master-A.	Matthew
Mark 9:24	(paragraph) Immediately the boy's father cry-out-B to Jesus _implicit, ["I(father) believe in you(Jesus) _implicit]. You(Jesus) (imp) help-B me(father) [me(father) to stop doubting]!"	Mark
Joshua 10:5	Then those five kings of the Amorites decided [to take the kings' armies to Gibeon]. Those kings ruled the cities named Jerusalem, Hebron, Jarmuth, Lachish, and Eglon. So the armies of those kings went to Gibeon. Those armies surrounded Gibeon. And those armies attacked Gibeon.	Joshua
Daniel 6:26	I(king) have written a new law. All people [who live in my(king's) kingdom] must honor God. And all people must fear Daniel's God. God is living. And God will live forever. No man will destroy the kingdom of God. The kingdom of God will exist forever.	Daniel
Daniel 5:19	[Because God caused [Nebuchadnezzar to be very great]] all of the people [who live on the earth] were afraid of Nebuchadnezzar. Nebuchadnezzar killed all of the people [that Nebuchadnezzar wanted [to kill]]. [If Nebuchadnezzar wanted [a person to live]] Nebuchadnezzar allowed [that person to live]. [If Nebuchadnezzar wanted [a person to be important]] then Nebuchadnezzar made [that person be important]. [If Nebuchadnezzar wanted [a person to be humble]] then Nebuchadnezzar made [that person be humble].	Daniel
Matthew 14:32	_paragraph And [when Jesus and Peter entered the boat,] the wind stopped blowing.	Matthew
Mark 12:30	And you(person) (imp) love-B the Lord-A, [who is your(person's) God,] with all of your(person's) heart-A, all of your(person's) soul, all of your(person's) mind, and all of your(person's) strength. (implicit-situational) You(person) (imp) love-B the Lord-A completely. (footnote) You(people) (imp) see Deuteronomy 6:4-5.	Mark
Genesis 15:2	But Abram said, ["Lord Yahweh, what will you(Yahweh) give to me(Abram)?] I(Abram) do not have a son. My(Abram's) slave named Eliezer [who is from Damascus] will inherit all my(Abram's) things.	Genesis
Mark 10:20	(paragraph) Then the man said to Jesus, ["Master/Teacher, I(man) did all of the things [that these commands/commandments say] [since I(man) was young]"].	Mark
1 Samuel 23:5	So David and the men [who were with David] went to Keilah. Then David and those men fought the Philistines. And David and those men defeated the Philistines. Then David and those men took the Philistines’ cows  and sheep. David and those men killed many Philistines. And David and those men saved the people [who were living in Keilah].	1_Samuel
1 Samuel 17:33	But Saul said, ["You(David) are not able [to fight Goliath]]. You(David) are too young. Goliath has been a soldier for many years. And Goliath (implicit-info) fights very well."	1_Samuel
Esther 1:6	The king's servants hung white curtains and blue curtains in the garden. The servants attached the curtains to marble pillars with silver rings. The servants also put gold couches and silver couches in the garden. The floor of the garden was made of marble, shells, and valuable gems.	Esther
Esther 2:6	Kish was one of the Jews [that king Nebuchadnezzar took from Jerusalem to Babylon]. Nebuchadnezzar also took Jehoiachin [who was the king of Judah] to Babylon.	Esther
Matthew 12:40	For Jonah stayed for 3 days and 3 nights in the stomach of a very big fish. Similarly, the Son-of-Man _1stAs3rd will stay for 3 days and 3 nights in the earth.	Matthew
Joshua 19:50	Yahweh commanded [the Israelites to give land to Joshua]. Joshua asked [the Israelite leaders to give the town named Timnath-Serah to Joshua].  So the Israelites gave that town to Joshua.  That town was in the mountains [that the tribe named Ephraim owned]. So Joshua built more houses in that town. And Joshua lived in that town.	Joshua
Mark 7:6	(paragraph) Jesus said to those Pharisees and those people/scribes, ["You(Pharisees) [who pretend [to be good/righteous]], Isaiah correctly told God's message [that was about you(Pharisees)]]. Isaiah said, ["(literal) These people honor me(God) with these people's lips] ["(dynamic) These people honor me(God) with the words [that these people say]]. (literal) But these people's hearts are far from me(God). (dynamic) But these people do not actually care-B about me(God).	Mark
Daniel 11:34	[While the people [who are faithful to God] are dying] other people will not help those people. Many people will join the people [who believe God]. But those people will not believe God sincerely.	Daniel
Joshua 8:27	But the Israelites kept the animals and the other valuable things [that were in Ai]. Earlier Yahweh told Joshua [that the Israelites may keep all of the things [that the Israelites wanted]].	Joshua
Matthew 24:40	2 men will be working _implicitNecessary in a field. One of those men _dual will be taken by God _implicitActiveAgent. And the other man will be left by God _implicitActiveAgent.	Matthew
2 Samuel 1:19	David sang, ["Israelites, your(Israelites') leaders are dead on your(Israelites') hills].   Your(Israelites') leaders died during the battle!	2_Samuel
Genesis 31:3	Then Yahweh said to Jacob, ["You(Jacob) (imp) return to the land [that your(Jacob's) ancestors lived in]].  Then I(Yahweh) will be with you(Jacob)."	Genesis
Nehemiah 13:26	Did not Solomon [who was the king of Israel] do bad things/sin [because Solomon married women [that came from other countries]]? [Because Solomon [who was the king of Israel] married women [that came from other countries]] Solomon did bad things. Solomon was greater than all of the other countries’ kings. God loved Solomon. And God caused [Solomon to rule all of Israel]. But Solomon did/sinned bad things [because of those women [that came from other countries]].	Nehemiah
Matthew 11:11	I(Jesus) tell you(people) the truth. (literal) John the Baptist is the most important person [who was born from a woman _addSourceArgument]. (dynamic) John the Baptist is the most important person [who was born on earth _implicit]. (complex) But the least important person [who is in the kingdom-B of heaven] is more important than John the Baptist. (simple) But the least important person [that God rules] is more important than John the Baptist.	Matthew
Daniel 2:2	So Nebuchadnezzar called the magicians and astrologers. Nebuchadnezzar wanted [the magicians and astrologers to tell Nebuchadnezzar about Nebuchadnezzar's dream]. So the magicians and astrologers came to the palace. And the magicians and astrologers stood in front of the king.	Daniel
Genesis 32:23	Then Jacob returned to the camp.  And Jacob told Jacob's servant [to take all Jacob's things [that were still in the camp] across the river].	Genesis
Matthew 25:44	_paragraph Those people will say, ["Lord-B , when did we(people) _excl not help you(Lord) [even-though we(people) _excl saw [you(Lord) were hungry], [you(Lord) were thirsty], [you(Lord) were from another country], [you(Lord) needed clothes], [you(Lord) were sick] [or you(Lord) were in prison]]?"]	Matthew
Acts 20:25	Now I(Paul) know [that you(leaders) will not see me(Paul) again]. I(Paul) often told you(leaders) about the Good News [which says [that God rules all things]].	Acts
Genesis 49:2	My(Jacob's) sons, you(sons) (imp) come near me(Jacob). You(sons) (imp) listen to your(sons's) father named Israel.	Genesis
Jonah 1:6	The leader of the ship came to Jonah. And the leader said to Jonah, ["Why are you(Jonah) sleeping]? You(Jonah) (imp)  Get up. And you(Jonah) (imp) pray to your(Jonah’s) god! You(Jonah) (imp) ask [your(Jonah’s) god to help us(men)]. Perhaps your(Jonah’s) god will hear your(Jonah’s) prayer.  Then we(men) will not die."	Jonah
Genesis 20:18	[Before Yahweh healed these women] Yahweh did not allow [these woman [who lived in Abimelech's house] to become pregnant] [in-order-to Yahweh punish Abimelech].  Yahweh punished Abimelech [because Abimelech take-away Abraham's wife named Sarah].	Genesis
Nahum 1:10	Yahweh will capture Yahweh's enemies [like a thorny bush captures people]. Those people will fall down [like a person [who drinks a lot of wine] falls down]. Yahweh will burn Yahweh's enemies [like a person burns dry weeds].	Nahum
2 Samuel 19:5	Then Joab went into the king’s house. And Joab said to the king, ["Today you(David) embarrassed your(David's) soldiers]. Your(David's) soldiers saved you(David) today! And your(David’s) soldiers saved your(David's) sons, your(David's) daughters, your(David's) wives, and your(David's) female slaves.	2_Samuel
1 Samuel 25:32	David said to Abigail, ["I(David) praise Yahweh [who is the God of Israel]]. Yahweh sent you(Abigail) [to meet me(David)] today.	1_Samuel
Nahum 3:17	The people [who guard you(people)] are like locusts. And your(people's) leaders are like locusts. [When the weather is cold,] the leaders stand on the walls. But [when the weather is hot], the leaders fly to other places. And no person knows the places [where the leaders fly to].	Nahum
Joshua 23:2	So Joshua called all of the old leaders, the leaders of families, the judges, and the officials. And Joshua said to those leaders, ["I(Joshua) am very old].	Joshua
Genesis 50:20	You(brothers) tried [to hurt me(Joseph)]. but God caused [your(brothers) evil actions to become a good thing]. God used you(brothers) [in order to save many people].	Genesis
Mark 15:24	Then those soldiers put Jesus on a cross [so that Jesus would die]. And those soldiers divided Jesus's clothes. (implicit-situational) But those soldiers did not tear Jesus's clothes. And those soldiers used sticks/lots [in-order-to choose-A the soldier [that will get each piece of Jesus's clothes]].	Mark
Genesis 1:5	God called the light day. And God called the darkness night. These things happened on the first day. God did these things on the first day. That evening and that morning were the first day.	Genesis
Genesis 11:3	Then the people said to the people, ["We(people) should make bricks]. We(people) will bake the bricks [so that the bricks will become very hard]." The people used those bricks.  The people did not use stones. and the people used tar [in-order-to attach one brick to another brick].	Genesis
Acts 19:20	Therefore people [who live in many places] heard about the things [that people [who believe in Jesus] were doing].  And many people started believing in Jesus.	Acts
2 Samuel 1:26	Jonathan, you(Jonathan) are my(David's) brother.  I(David) am very sad [because you(Jonathan) died].   You(Jonathan) were my(David's) special friend. You(Jonathan) loved me(David) much. You(Jonathan) loved me(David)  [more than women love me(David)].	2_Samuel
Genesis 11:5	But Yahweh came to the earth [in-order-to see the city and the tower [that the people were building]].	Genesis
Joshua 12:19	The Israelites defeated the king of Madon and the king of Hazor.	Joshua
Genesis 26:8	Isaac lived in Gerar for many years. One day [when the king of the Philistines named Abimelech looked through a window] Abimelech saw [Isaac kissing Rebekah].	Genesis
Genesis 46:30	Then Jacob said to Joseph, ["Now I(Jacob) am ready [to die] [because I(Jacob) see [that you(Joseph) are still living]]]."	Genesis
Acts 3:14	You(people) said [that you(people) did not want Jesus]. And Jesus was holy and good. Instead you(people) asked [Pilate to free a man [who killed people]].	Acts
Jonah 2:7	Yahweh,  [while I(Jonah) was dying] I(Jonah) remembered you(Yahweh). I(Jonah) prayed to you(Yahweh). And you(Yahweh) heard me(Jonah) in your(Yahweh’s) holy temple [that is in heaven].	Jonah
Joshua 23:4	(imp) You(Israelites) remember [that I(Joshua) divided this land for your(Israelites') tribes]. This land is between the river-Jordan River and the sea-Mediterranean [which is on the western side]. I(Joshua) defeated/conquered those nations.	Joshua
Joshua 14:8	But the other men [who went with me(Caleb)] caused [the Israelites to become afraid]. But I(Caleb) obeyed Yahweh [who is my(Caleb’s) God] completely.	Joshua
Joshua 17:18	We(leaders) will also give the region [that has the forests] to you(people). So You(people) (imp) cut-down those trees [in-order-to build towns]. And you(people) will own that land. [Although the Canaanites have iron chariots] you(people) will force [the Canaanites to leave that region]. You(people) will defeat the Canaanites."	Joshua
Matthew 14:34	_paragraph [After the followers/disciples and Jesus finished going across the lake _implicit,] those followers/disciples came to the shore of Gennesaret named the area/region _implicitExplainName.	Matthew
Genesis 5:17	Therefore Mahalalel lived for 895 years.  Then Mahalalel died.	Genesis
Genesis 30:29	Jacob said to Laban, ["You(Laban) know [that I(Jacob) worked hard for you(Laban)]]. You(Laban) have many sheep now [because I(Jacob) cared for your(Laban's) sheep].	Genesis
Joshua 15:51	And the tribe named Judah owned the towns named Goshen, Holon, and Giloh. Therefore the tribe named Judah owned 11 towns [that were in that region].  And the tribe named Judah also owned the fields [that were near those towns].	Joshua
Philemon 1:9	But we(Paul) love each-other(Paul). And I(Paul) am now old. And I(Paul) am in prison [because I(Paul) serve Christ Jesus]. So I(Paul) will ask [you(Philemon) to do this thing].	Philemon
1 Samuel 21:12	David heard [those men talking to the king].  So David became very afraid of Achish.	1_Samuel
Nehemiah 8:6	Then Ezra praised Yahweh [who is the great God]. And all of the people raised the people’s hands. And those people said, ["These things are true/Amen!] These things are true/Amen!"  Then those people bowed. And those people moved the faces of those people near the ground. And those people worshiped Yahweh.	Nehemiah
Mark 5:11	(paragraph) There was a big group of pigs [that was eating food _implicit on a hill [that was near that place]].	Mark
Daniel 11:14	Then many people will fight against the king of the south region. The strong soldiers [that come from your(Daniel's) people] will also fight against this king. All these people will fight against the king of the south region. But these people will not be able [to defeat the king of the south region].	Daniel
Daniel 3:12	You(king) chose three Jews [in order to govern the people [that live in Babylon]]. The names of these Jews are Shadrach, Meshach, and Abednego. These three men have not done all the things [that you(king) said]. These men do not worship your(king's) gods. And these men did not worship the gold statue [that you(king) made]."	Daniel
1 Samuel 3:19	Yahweh blessed Samuel [while Samuel was growing up]. [Whenever Yahweh told Samuel [that a certain thing will happen]] that thing always happened.	1_Samuel
Genesis 31:41	I(Jacob) worked for you(Laban) for 20 years [just-like a slave works for the slave's master]. I(Jacob) worked for you(Laban) for 14 years [in-order-to obtain your(Laban's) 2 daughters]. Then I(Jacob) worked for you(Laban) for 6 years [in-order-to obtain my(Jacob's) animals]. [While I(Jacob) worked for you(Laban)] you(Laban) changed -iteration 10 times.  On one day you(Laban) said [that you(Laban) would pay this thing to me(Jacob)]. But the next day you(Laban) said [that you(Laban) would pay a different thing to me(Jacob)].	Genesis
2 Samuel 5:5	David ruled Judah for 7.5 years. [While David was the king of Judah] David lived in Hebron. Then David also became the king of Israel.  David was the king of Israel and Judah for 33 years. [After David became the king of Israel] David lived in Jerusalem.	2_Samuel
Ruth 4:17	Naomi's neighbors said, ["Naomi has a son again]!" The neighbors named the boy Obed. [after Obed grew up] Obed had a son named Jesse. And [after Jesse grew up] Jesse had a son named David. And David became the king.	Ruth
1 Samuel 24:19	[When a man finds the man's enemy] the man does not treat that enemy kindly.  I(Saul) hope [that Yahweh will reward you(David)] [because you(David) treated me(Saul) kindly today].	1_Samuel
Matthew 2:5	Those priests and those people/scribes answered Herod, ["The Christ _implicitNecessary will be born _implicitNecessary in Bethlehem [which is in Judea]]. For the prophet wrote many years _implicit ago,	Matthew
Esther 8:16	That day all of the Jews were very happy. The people [that lived in Xerxes' kingdom] honored the Jews.	Esther
Genesis 21:10	So Sarah said to Abraham, ["You(Abraham) (imp) tell this female slave and the son of the slave [to leave]]. The son of this slave must not inherit any thing from you(Abraham). My(Sarah's) son named Isaac must inherit all your(Abraham's) things."	Genesis
Mark 4:35	(title) Jesus causes [a storm to end]. (paragraph) In the evening of that day, Jesus said to Jesus's disciples, ["We(Jesus) go _suggestiveLets to the other side of the lake _implicit."]	Mark
1 Samuel 13:8	Saul waited for Samuel for 7 days. Previously Samuel told Saul [to wait for 7 days [so that Samuel could come to Gilgal]]. But Samuel did not come to Gilgal. And the soldiers started leaving Saul.	1_Samuel
Daniel 4:13	[While I(Nebuchadnezzar) was still sleeping] I(Nebuchadnezzar) saw an angel. The angel was holy. And the angel came from heaven.	Daniel
2 Samuel 3:3	The name of  David’s second son was Kileab. Kileab’s  mother’s name was Abigail. Abigail was the wife of Nabal [who died].  Abigail was from Carmel.  The name of David's third son was Absalom. Absalom’s mother’s  name was Maakah. Maakah was the daughter of Talmai. Talmai was the king of Geshur.	2_Samuel
Joshua 10:42	Joshua defeated all of those people quickly. Joshua was able [to defeat those people] [because the God of the Israelites named Yahweh was fighting for Israel].	Joshua
Matthew 22:28	At the time [that dead people will become alive again at], which brother's-C wife will that woman be? For all 7 brothers-C married that woman."	Matthew
2 Samuel 1:9	Then Saul said to me(man), [“Please you(man) (imp) come to me(Saul)].  And You(man) (imp) kill me(Saul)!  I(Saul) am almost dead.  But I(Saul) am still alive.”	2_Samuel
Matthew 5:8	(literal) People [who have a pure heart] are blessed by God _implicitActiveAgent. (dynamic) People [who want [to do only good things ]] are blessed by God _implicitActiveAgent. For those people will see God.	Matthew
Genesis 9:9	God said, ["I(God) am making my(God's) covenant with you(Noah) and your(Noah's) descendants].	Genesis
Mark 16:9	(paragraph) [(literal) After Jesus became alive again in the very early morning of the first day of the week,] [(dynamic) After Jesus became alive again in the very early morning of Sunday,] Jesus first appeared-C to Mary-Magdalene. Previously _implicit Jesus forced [7 evil spirits/demons to leave Mary-Magdalene].	Mark
Acts 19:40	[Because you(people) have shouted very loudly,] a person might tell a judge [that we(people) broke a law]. And we(people)  are not able [to explain the reason [why we shouted very loudly]] [because we do not know the reason [why we met at this place]].	Acts
1 Samuel 25:8	You(Nabal) (imp) ask your(Nabal's) servants about us(David).  Your(Nabal’s) servants will tell you(Nabal) [that we(David) treated your(Nabal’s) servants kindly]. You(Nabal) are celebrating now. So you(Nabal) please (imp) be kind to my(David's) young men. Please you(Nabal) (imp) give food to these men and to your(Nabal's) son named David.""	1_Samuel
Daniel 8:18	[While Gabriel was speaking to me(Daniel)] I(Daniel) started to sleep. So Gabriel touched me(Daniel). And Gabriel made [me(Daniel) stand up].	Daniel
2 Samuel 22:29	Yahweh, you(Yahweh) are my(David's) lamp.    Yahweh changes the darkness into light.	2_Samuel
1 Samuel 4:16	That man said to Eli, ["I(man) came from the battle]. I(man) ran to this place today." Eli asked that man, ["My(Eli's) son, you(man) (imp) tell me(Eli) about the battle]."	1_Samuel
Mark 14:60	(paragraph) Then the chief priest stand-up in-front-of all the people. (yesrhetorical) And the chief priest asked Jesus, ["Are you(Jesus) going to speak [(implicit-situational) in-order-to defend yourself(Jesus)]?] (statement) And the chief priest said to Jesus, ["You(Jesus) should speak [(implicit-situational) in-order-to defend yourself(Jesus)]]. What do you(Jesus) _implicitNecessary say _implicitNecessary about the things [that these men said about you(Jesus)]? (implicit-situational) Are the things [that these men said about you(Jesus)] true?	Mark
Ruth 4:3	Then Boaz said to the man/kinsman-redeemer, ["Naomi returned from Moab]. Our(Boaz’s) relative named Elimelech owned some land. Now Naomi wants [to sell that land].	Ruth
Daniel 8:20	You(Daniel) saw a male sheep [that had two horns]. One horn is like a kingdom named Media. And the other horn is like a kingdom named Persia.	Daniel
Esther 9:2	All of the Jews [that lived in Xerxes' kingdom] met in the cities [that the Jews lived in]. Then the Jews prepared [to attack the people [that hated the Jews]]. The people [that came from other countries] were very afraid of the Jews. So the Jews defeated the people [that wanted [to kill the Jews]].	Esther
Mark 10:22	(paragraph) But [when that man heard Jesus's words,] that man became upset. For that man owned many things. (implicit-situational) And that man did not want [to sell those things]. And [when that man left Jesus _implicit,] that man was very sad .	Mark
2 Samuel 7:16	But your(David's) family and your(David's) kingdom will exist with me(Yahweh) forever. And you(David) will rule forever.””	2_Samuel
Acts 18:15	But you(Jews) are arguing about words, names, and your(Jews') laws. So I(Gallio) will not judge those arguments. You(Jews) Solve(imp) this problem yourselves(Jews)."]	Acts
Genesis 6:2	The sons of God thought [that those girls were very beautiful].  So the sons of God married those girls.  Each son of God married any girl [that the son of God chose]. (footnote) Today some people think that [these sons of God were angels [who joined Satan]] [or these sons of God were children of Seth].	Genesis
Nehemiah 12:46	For many years ago [while David and Asaph were living] there were leaders for the people [who sang]. And those leaders led the people [while those people sang songs_implicit [in order to praise God] [and in order to thank God]].	Nehemiah
Genesis 30:37	But then Jacob tricked Laban.  Jacob cut green branches from poplar, almond, and other tree.  And Jacob take-away bark from those branches [so-that there were white marks on those branches].	Genesis
Genesis 24:24	Rebekah answered the servant, ["My(Rebekah's) father is Bethuel [who is the son of Milcah and Nahor]"].	Genesis
Ruth 1:15	Naomi said to Ruth, ["Orpah will return to Orpah's people and to Orpah's gods]. You(Ruth) should also return to your(Ruth's) people."	Ruth
Daniel 8:14	The other angel answered, ["These events will happen for 2300 days]. Then the house of God will be pure again."	Daniel
Genesis 5:3	[When Adam was 130 years old] Adam had another son.  This son was like Adam.  Adam named this son Seth.	Genesis
1 Samuel 5:1	(title) The Philistines have problems. [After the Philistines took/captured the Ark-of-the-Covenant], the Philistines took the Ark-of-the-Covenant from Ebenezer to Ashdod.	1_Samuel
Mark 14:26	(paragraph) [After Jesus and those followers/disciples sang a song [that was about God],] Jesus and those followers/disciples went to the mount-Olives.	Mark
Matthew 25:30	Now you(people) (imp) take that servant-B [who is not valuable] from here. And you(people) (imp) throw-B that servant-B into the darkness [_descriptive where people will cry/weep] [_descriptive and where people will bite/gnash those people's teeth]."	Matthew
Daniel 9:6	We(people) did not listen to the prophets [who were your(Lord's) servants]. The prophets told our(people's) kings, our(people's) princes, our(people's) fathers, and all the people about your(Lord's) message.	Daniel
1 Samuel 18:5	Saul often sent [David to fight the Philistines]. And David fought very well. So Saul chose David [to become an officer for the Israelites' army]. Then all of the other soldiers became happy.  And Saul's other officers were also happy.	1_Samuel
Joshua 19:2	The tribe named Simeon owned the towns named Beersheba and Moladah. ( People called Beersheba Sheba. )	Joshua
2 Samuel 6:22	And I(David) will continue acting[like a crazy man acts]. I(David) will continue being foolish. But the female slaves [that you(Michal) talked about] will honor me(David)."	2_Samuel
Genesis 33:14	So my(Jacob's) master should walk in front of my(Jacob's) master's servant. I(Jacob) will travel slowly [so that the animals and the children will not become tired]. My(Jacob's) master, I(Jacob) will meet you(Esau) in Seir."	Genesis
Daniel 11:2	Now I(Lord) will explain the truth to you(Daniel). There will be three more kings in Persia. Then a fourth king will come. That king will have more money than all the other kings. That king will become powerful [because that king will have a lot of money]. Then that king will cause [all people to be angry with the kingdom of Greece].	Daniel
Joshua 19:44	The tribe named Dan also owned the towns named Eltekeh, Gibbethon, and Baalath.	Joshua
Joshua 22:28	In the future your(Israelites') descendants might say [that we(people) are not part of Israel]. Then our(people's) descendants will say, ["(imp) You(descendants) look at this altar [that our(descendants') fathers made]]. This altar is like Yahweh's altar. We(descendants) do not give offerings on this altar. But we(descendants) have this altar [so that we(descendants) could know [that we(descendants) are part of Israel]]."	Joshua
1 Samuel 1:28	So now I(Hannah) will give this child to Yahweh. This child will belong to Yahweh [until this child dies]." Then Eli and Hannah worshiped Yahweh at the tabernacle.	1_Samuel
Matthew 6:26	You(people) (imp) think/consider about the birds [that are in the air]. Birds do not plant seeds _implicit. Birds do not gather/harvest crops _implicit. And birds do not store crops _implicit in barns. But your(people’s) Father [who is in heaven] feeds those birds. (yesrhetorical) Are you(people) much more valuable than birds? (statement) You(people) are much more valuable than birds.	Matthew
Genesis 24:57	Rebekah's brother and Rebekah's mother said, ["We(mother) will ask [whether Rebekah wants [to leave now]] [or Rebekah wants [to stay with us(mother) for 10 days]]]."	Genesis
2 Samuel 18:1	David called all of the men [who were with David]. Then David chose/appointed officers. Certain officers led 1000 men. And other officers led 100 men.	2_Samuel
Mark 2:20	But in the future, the man [who is marrying a woman] will be take-away by people _implicitActiveAgent from those guests. At that time, those guests will refuse [to eat food].	Mark
Genesis 2:1	-title God rested on the seventh day.  Thus God finished creating all things [that are in the sky] and all things [that are on the earth].	Genesis
Ruth 2:5	Then Boaz asked the leader of the workers, ["That young woman belongs to which person?"] "Who is that woman?"	Ruth
Nehemiah 7:1	[After we(Nehemiah) finished repairing the wall]  we(Nehemiah) put all of the doors in the gates. Then I(Nehemiah) chose the people [that will guard the gates].  I(Nehemiah) also chose the people [that will sing] [and that will play instruments]. And I(Nehemiah) chose people [that were in the tribe named Levi].	Nehemiah
Daniel 1:13	[After we(servants) eat vegetables for ten days] you(guard) (imp) look at us(servants) again. You(guard) (imp) compare us(servants) with the other young men [who eat the king's food]. Then you(guard) (imp) choose the food [that we(servants) will eat]."	Daniel
2 Samuel 11:13	Then David called Uriah. And Uriah ate with David. And David caused [Uriah to become drunk]. But in the evening Uriah slept on Uriah’s mat with the king’s servants near the king’s door. Uriah did not go to Uriah's house.	2_Samuel
